TOPICID,No,Aspect,System Response,,,,,,,,,,,
SCS-TIMING-TRAIN-1,1,兵庫県立大学の歴史,兵庫県立大学は，2004年に歴史と伝統を誇る，神戸商科大学，姫路工業大学，兵庫県立看護大学が統合して開学しました．,,,,,,,,,,,
SCS-TIMING-TRAIN-1,2,兵庫県立大学の学部,国際商経学部，社会情報学部，工学部，理学部，環境人間学部，看護学部の計6学部です．,,,,,,,,,,,
SCS-TIMING-TRAIN-1,3,兵庫県立大学の社会情報科学部,社会情報学部は，社会情報科学部は，情報科学を軸として，高度化・複雑化が続く社会における課題を解決する教育と研究を行うことを目的として設立されました．,,,,,,,,,,,
SCS-TIMING-TRAIN-1,4,兵庫県立大学の社会情報学部の所在地,２つのキャンパスがあります．最寄り駅は，神戸市営地下鉄「学園都市駅」とポートライナー「計算科学センター」駅です．,,,,,,,,,,,
SCS-TIMING-TRAIN-1,5,兵庫県立大学の学生数,学生数は，6551名です．,,,,,,,,,,,
SCS-TIMING-TRAIN-1,6,兵庫県立大学の教員数,教授226名，准教授176名です．,,,,,,,,,,,
SCS-TIMING-1,1,カカオを含んだダークチョコレートの定義,ダークチョコレートとは、カカオの含有率が 55%以上のチョコレートのことです．,,,,,,,,,,,
SCS-TIMING-1,2,ブラックチョコレートと比較したダークチョコレートの定義,"ダークチョコレートは業務向けで表記されることが多く, ブラックチョコレートは一般消費者向けで表記されることが多いです.",,,,,,,,,,,
SCS-TIMING-1,3,ダークチョコレートを食べるタイミング,食後や間食ではなく，食前・食事前に食べることによって，食事から摂取される糖質の吸収を抑えてくれることが期待できます．,,,,,,,,,,,
SCS-TIMING-1,4,ダークチョコレートの適切な摂取量, 1日あたり，30～60g，およそ 2.5～5 片までが理想的です．脂肪分や砂糖の含有量も多いので，注意しましょう．,,,,,,,,,,,
SCS-TIMING-1,5,普通のチョコレートとの比較,ダークチョコレートは，体によいとして注目されている成分「カカオポリフェノール」や「カカオプロテイン」を，通常のチョコレートよりも豊富に含んでいることで知られています．,,,,,,,,,,,
SCS-TIMING-1,6,カカオフラバノールを含めたダークチョコレートの成分,カカオフラバノールとは，カカオポリフェノールに含まれるエピカテキンをメインとする化合物の混合物です．,,,,,,,,,,,
SCS-TIMING-1,7,ダークチョコレートの味,カカオの割合が高くなれば，それだけ苦みも増します．種類によっては、食べられないくらい苦いものもあるので，注意しましょう．,,,,,,,,,,,
SCS-TIMING-1,8,おすすめのダークチョコレート,食べやすくなじみのある味わいを求めるなら，ガーナ産がおすすめ．ガーナ産のカカオは日本に輸入されるカカオの約7割を占めているうえ，苦味・渋み・酸味のバランスもよいので，親しみやすく感じられるでしょう．ロッテの「ガーナブラックエクセレント」をおすすめします．苦味控えめのものを選びたいなら，コートジボワール産やベネズエラ産のカカオを選ぶとよいでしょう．Venchi ベネズエラ ダークチョコレートをおすすめします．,,,,,,,,,,,
SCS-TIMING-1,9,ダークチョコレートの選び方,美味しく食べ続けていきたいのであれば，まずはカカオ含有量の低いものから選び，徐々に高くしてみてください． 甘さも健康効果もバランスよく取りたいなら，カカオ含有率70%程度のチョコレートを選びましょう,,,,,,,,,,,
SCS-TIMING-1,10,ダークチョコレートのストレスへの効果,スイスで，人を対象にした試験が行われ，2014年にはカカオフラバノールをたくさん含むダークチョコレートを食べることは，ストレスを軽減するのに役立つと報告されました．,,,,,,,,,,,
SCS-TIMING-1,11,エイジングにおけるダークチョコレートの美容の効果,1日30ｇのダークチョコレートを4週～8週間摂取すると，体重とBMIの低下する可能性があるため，ダイエット効果が期待できます．,,,,,,,,,,,
SCS-TIMING-1,12,ダイエットにおけるダークチョコレートの美容の効果,カカオポリフェノールは活性酸素の働きを抑える抗酸化作用を持ち，肌を若々しく保つエイジングケア効果があるといわれています．,,,,,,,,,,,
SCS-TIMING-1,13,便通におけるダークチョコレートの美容の効果,ダークチョコレートに豊富に含まれるカカオプロテインには，便通をよくする効果があります．,,,,,,,,,,,
SCS-TIMING-1,14,ダークチョコレートの認知機能への効果,カカオポリフェノールには，アルツハイマー型認知症や認知機能との関連性があるとされているBDNF（脳由来神経栄養因子）に働きかけて，脳の認知機能を高めるという研究報告もあります．BDNFは脳にとって重要な栄養分ともいわれており，加齢とともに減少していくといいます．認知機能の向上によって，記憶力アップや認知症予防につながる可能性があるでしょう．,,,,,,,,,,,
SCS-TIMING-1,15,ダークチョコレートの血圧や動脈硬化への効果,1297人に及ぶ42のランダム化試験から，チョコレートとココアの接種が収縮期や拡張期血圧を低下させることが示唆されています．また，若くて健康な成人が20ｇのダークチョコレートを30日間摂取すると血圧低下とともに，血管機能が改善することが報告されています．,,,,,,,,,,,
SCS-TIMING-1,16,ダークチョコレートのアレルギーへのポジティブな効果,豊富に含まれるカカオポリフェノールによって，アレルゲンに対して抗体が作られるのを防ぎ，花粉症やダニアレルギーなどのI型アレルギーに対してアレルギー抑制の効果があるといわれています．,,,,,,,,,,,
SCS-TIMING-1,17,ダークチョコレートのアレルギーへのネガティブな効果,ニッケルや亜鉛・マンガンなどの重金属が多く含まれています．金属アレルギーをお持ちの方は，成分を確認の上，摂取を控えたほうがよい可能性があります．,,,,,,,,,,,
SCS-TIMING-1,18,ダークチョコレートの糖尿病への効果,若くて正常な体重の男性の健康調査では，カカオを多く含むチョコレートの消費が多いほど，糖尿病の発症が低くなりました．,,,,,,,,,,,
SCS-TIMING-1,19,ダークチョコレートの睡眠への効果,カフェインやテオブロミンといった成分も一般的なチョコレートより多く含まれており，興奮作用，気管支拡張作用があるため，食べ過ぎると睡眠に悪影響がでる可能性があります．,,,,,,,,,,,
SCS-TIMING-1,20,ダークチョコレートの価格,安いものだと1000円以下であります．高いものだと10000円以上するものもあります．,,,,,,,,,,,
SCS-TIMING-1,21,ダークチョコレートの購入場所,一般的な通販サイトで購入することができます．また，ゴディバといったチョコレート専門店や，最近ではコンビニやスーパーでも購入することができます．,,,,,,,,,,,
SCS-TIMING-2,1,風力発電の仕組み,風力発電は，風の力を利用して風車を回し，風車の回転運動を発電機を通じて電気に変換する発電方法です．風が強く風車の回転速度が上がりすぎる時は，安全のため回転を停止できるようになっています．,,,,,,,,,,,
SCS-TIMING-2,2,風力発電が普及しない理由,普及しない理由は「設備コストの高さ」「稼働実績の乏しさ」「売電シュミレーションの信憑性の低さ」「発電に適した土地の取得」等があげられます．,,,,,,,,,,,
SCS-TIMING-2,3,風力発電の発電効率,風力発電は，風の力で風車を回し，その回転エネルギーによって発電機を動かして電気をつくる仕組みです．電力へのエネルギー変換効率は約30%～40%で，再生可能エネルギーでは水力発電に次ぐ高さです．,,,,,,,,,,,
SCS-TIMING-2,4,風力発電の電力,"風車1基で年間300万kWh程度の発電量が見込まれます．これは一般家庭の800～1,000世帯で使用する電力使用量に相当します．",,,,,,,,,,,
SCS-TIMING-2,5,太陽光発電との比較,世界で風力が多い理由の1つには，太陽光が日中しか発電できないのに対し，風力は風さえ吹けば1日中発電できるので，発電単価が優れていることがあげられます．日本で太陽光が優勢なのは，制度的に太陽光の方が収益性がよく，参入障壁も低かったためです．,,,,,,,,,,,
SCS-TIMING-2,6,風力発電のメリット,風力発電では二酸化炭素が発生しないためクリーンで，強い風が吹く場所であれば発電が可能なので陸上だけでなく洋上でも発電が可能です．変換効率もよく，夜間も稼動でき，大規模な発電設備であれば火力発電並みの発電コストとなるため，経済性も確保できる可能性があるエネルギー源として期待されています． ,,,,,,,,,,,
